,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Organic acids and derivatives; Peptidomimetics; Depsipeptides; Cyclic depsipeptides,5.906829683942882e-05,4.36920570890006e-05,5.7233164461439475e-05,5.30017234308689e-05,4.7096780094639674e-05,7.206594049164596e-05
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbohydrates and carbohydrate conjugates; N-glucuronides,1.5711575104202445e-06,0.0004999151135280486,1.9043497287585075e-06,0.00012021405434651707,4.625462561537249e-05,2.16865516299542e-06
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Valine and derivatives",0.00013659044183100374,0.0001288151162796328,0.0018437417697061745,0.00013960175585159745,0.00017374574003914,0.003878955641960012
Organic compounds; Alkaloids and derivatives; Morphinans; unclassified; Morphinans,0.00038505985556166783,0.00040465784538092737,0.000540724993381336,0.0003136031056007374,0.00024727401526672063,0.0006665851676164543
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Benzenesulfonamides,3.216751602865868e-05,5.094417391604401e-07,0.0002704024325847131,1.7494195469829772e-06,5.202055360275254e-07,5.7928806899576444e-05
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty aldehydes; Fatty aldehydes,0.00010024332114480616,9.869854182605863e-05,4.46877030184987e-05,0.00011255299332852148,0.00010228245849597253,3.925654942283136e-05
Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Phenylpyridines; Phenylpyridines,1.4103485437195893e-05,5.004544292531742e-05,2.070047068151335e-06,1.870766866049818e-06,4.0983640162147105e-06,2.4964870103983116e-06
Organic compounds; Organoheterocyclic compounds; Piperidines; N-acylpiperidines; N-acylpiperidines,0.0002463264213649459,0.00012840744688486544,0.0006600433701316388,0.00019935899373410744,0.00014105790820262488,0.0006504439183495754
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Stigmastanes and derivatives; Stigmastanes and derivatives,0.0005372843239046561,0.000270986328377129,0.001435581254769979,0.0004582349851724528,0.00028385108404410463,0.0015526575464115953
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indolyl carboxylic acids and derivatives; Indolyl carboxylic acids and derivatives,0.05956267721885137,0.06107198542588731,0.09692863417022764,0.05477243492951717,0.05557529988357717,0.0966740648328592
"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; 1-alkyl,2-acetylglycero-3-phosphocholines",0.03183559501946038,0.00031831568344916283,0.1256905605450098,0.025065133314725766,0.00033757199008275466,0.13330121217897561
