	0004069a1f2c3f2b14511a4f367e485d	0013ada35a72573fde974722d6f46269	0074f0d3d22016bcdf28ee53c8a5062b	012ade16945709e69650957b8fdeb021	015bcc773d2fe77d5ddf3533aff00a9f	0171c4a4201b9604da3efc9305fc5264	017460a73612042af020d72a944567b4	01809bb355414a0015fd764cba9c5014	01a15bb425333e9bb45a57970a4fd744	01f940cc9606a206fc0f5f4be686142a	01f9feb2a4c23ae6dbbfddd03a30a949	021cc127437b5c0aede393b33d882fa0	022498ce76429e0c6aeebc91003e3cea	022d9bc10db7254d7faa714a29ccfc41	027b52f7e9c453c4db513e9a266b6915	029382fc50a5371c7578fbed50d05276	02c6164bb3acbb7a09c021689f272c1d	02fb4d45edee84cbdf683f6305cedab8	034818a2509951b61eb3afbbc33dede4	03bfa79239ab9d19da70507270999a30	03d3e7bb58e91428021aa104b81737ea	03e5cb38a914eb96483ca630ad1d9277	03f77cf83937ea870b744746c2fb021d	03fe08fa009afab0bb396144e44ab29f	040ebba19e4d72f865ecd3dcdb1e20d3	04594b884377a2bd2550c5d4d956e08b	0487c46a2d3915b718e21857f51cbedb	04a269150d25a2f124c2ea4598ff338d	04aed1229920f03c64ec6efd65afa969	04e01f6d0222f7ae0b5a4180096a7615	04ef5c5db90a704b2a0903ae64a444fc	04fae26c24c8c1aeb7379099ed4b1584	05163992b2900dfeb473198f34648669	051b172334bfa84fa54d8a9f529b5e77	05499b638ac0dd75492cc1937ce93aa6	0573a1a5857d294ca17802105e3cae29	0599a329b2d7c76a78d954fc5e1b7a51	05b7691209e78a8527945f6b5b0bcfb4	05e765450e243def9ae248d02c9cd2d6	05e8e382396ab145840c525c267d4d25	05f6086a8a2cee842fda8dc71868f23d	06019d17a3cd04f8295187a39b9f7cce	063213c83267364b5b0ccf512becab23	063f5f9ab89e7e225a8cc70d0820bce2	06461aee927ad826dda0a5fc6d39c846	0673b3adc860840b18a7e69687f15bdd	068d58684ec6f603e3d04c33b7e171f5	06afebce624262f62bdb4c2a797259a7	06e71388f4d2d3022774b14da2cdc5f7
TW-BK-001	16357.406500000125	4052.6904999999933	29282.689500000204	15849.878000000052	38481.18749999998	186.30450000000624	504879.9939999996	22646.65599999998	46937.09799999994	0.0	1000513.8594999956	8743.626000000047	211.52799999999985	11407.420500000217	22701.0080000002	966.9269999999947	1610.5224999999984	173.7870000000031	451.84150000000085	17509.245499999688	10379.017000000016	8617.493000000033	1749.9385000000198	10176.174000000019	12121.441500000015	649509.1359999992	7368219.194000001	161.68999999999647	269112.9340000004	5859.244500000077	3032.0580000000077	6885.340999999926	593.8494999999963	2869.6234999999683	3286.556999999961	144.4079999999964	4903.616499999963	107.76150000000031	396362.8784999996	6570.681000000001	12023.223499999936	138848.29100000163	0.0	68003.78950000009	12410.287500000022	263.4129999999983	502.19700000002564	6373.936500000078	37783.994999999966
TW-AW-001	7882.860999999861	3360.1160000000373	19465.12000000005	151.04249999999843	0.0	88.53299999999727	187423.93149999954	518.6120000000044	18379.843000000088	0.0	251321.76800000345	1707.8650000000268	83.82799999999938	8328.365000000256	144927.91300000116	167.04800000000083	96.97599999999987	0.0	82.61250000000064	34492.767999999916	193.55000000000197	1530.3569999999866	3905.959000000006	8306.6500000001	10900.458000000215	182694.656499998	58666.07350000008	149.5320000000066	46186.18199999999	6480.887000000132	698.0734999999946	8120.326000000053	0.0	12301.659999999973	1327.9460000000342	124.35650000000324	962.6919999999907	252.999999999995	0.0	49.34250000000072	12381.482000000266	13272.204000000012	402.1980000000028	3824.554999999951	9822.525000000043	251.42849999999802	4928.934500000014	1252.7020000000055	15221.745999999888
TW-AX-002	22724.7999999998	8405.507500000032	24709.450500000155	4478.619000000053	4552.690499999926	0.0	844153.2890000037	6915.352000000085	46263.22700000014	281.99399999999815	703102.316000001	5123.7265000000125	464.39900000000085	60403.30899999968	23183.450000000204	507.2965000000062	430.2014999999994	186.5940000000013	551.8289999999979	5351.748000000089	238.15749999999903	5573.801500000008	3014.6014999999934	4775.307500000081	4028.143999999801	730017.8395	33200.535	0.0	214414.64850000115	5939.487499999997	28319.717999999986	2122.3599999998787	124.77300000000182	7315.914500000127	2698.54900000003	620.5285000000131	5544.848499999964	43.759999999998904	0.0	126.84599999999956	1189.4249999999945	111229.01949999934	0.0	20139.887000000133	12400.454000000067	499.49400000000185	337.2734999999989	3356.2455000000123	45725.9390000001
TW-BG-001	19853.633499999767	7725.643499999941	20863.554999999542	13796.999500000169	116902.53600000172	176.4179999999989	8380.039999999995	12283.408500000278	55618.06999999968	0.0	994203.8475000012	4428.969500000047	166.05850000000132	4673.424999999925	24685.065499999942	7425.460000000019	387.8920000000003	0.0	119.02799999999996	8181.606000000031	1794.515999999997	772.6424999999996	526.3775000000044	12546.19699999988	9087.160500000464	231154.7925000003	0.0	0.0	158377.81300000002	3991.8354999999306	2107.559000000006	6524.291500000108	240.653999999994	2021.81999999998	3176.319500000081	4225.425499999912	7715.348500000088	0.0	0.0	569.9275000000008	4649.179500000016	63823.455999999365	976.7789999999898	50666.40149999918	17146.65249999994	183.20399999999833	1969.9999999999409	4739.907500000063	25031.6135000002
TW-CH-002	29073.496000000465	10117.838500000047	19718.85849999982	7776.113499999987	38070.969500000174	78.80400000000115	0.0	8650.143999999964	64580.15049999965	101.74199999999749	768262.599500015	7562.177500000134	84.35350000000071	22046.218000000586	20274.822	884.2544999999947	0.0	80.80800000000096	252.8295000000037	0.0	7183.011999999984	173.3260000000009	18491.562000000074	13019.710500000005	42822.75949999797	425586.5179999986	8249352.497499992	125.98249999999645	500972.5164999998	2231.293500000097	2020.9675000000022	9253.680000000168	627.1485000000092	8559.643999999998	7166.241000000105	213.05199999999093	2806.226999999909	255.62499999999505	0.0	100.37200000000057	2527.934499999997	33187.239	264.0194999999976	18742.675500000227	35218.815000000184	248.1780000000008	2317.6379999999663	5217.856500000037	67007.01449999944
TW-AW-002	40022.84500000018	11165.098999999957	27012.679999999877	11451.620500000083	222.48799999999713	161.88849999999854	24298.22649999993	10109.73250000003	110112.60249999962	0.0	1255191.5825000028	4692.677500000067	218.50199999999973	185292.4599999992	17472.699500000148	733.455000000002	147.85649999999984	61.06799999999943	121.10099999999923	11243.8215000001	4113.373500000012	4002.488	576.0759999999926	3603.621000000152	22013.914000000244	435320.4945000024	8957757.926500011	152.2499999999958	52114.20350000013	4127.96850000008	1776.1809999999869	10289.373999999958	291.18199999999734	3154.0019999998185	9264.466000000031	434.1595000000009	9430.631500000025	152.2499999999958	59177.998499999645	114.7250000000003	2272.0245000000023	144796.87600000045	291.43049999999903	3319.355500000011	27001.03200000008	251.7349999999976	1361.7139999999495	9314.532500000025	82386.86549999991
TW-BZ-002	5166.911999999836	7307.1394999999575	39661.50150000001	33229.12700000018	140852.82200000036	101.89599999999879	972178.091999998	27232.69149999999	66157.06199999996	379.27099999999746	1544386.6739999906	11683.287000000066	165.22400000000104	7340.807499999688	33234.40400000013	7194.875000000078	185.72500000000045	677.4109999999965	282.79399999999987	25977.39850000013	43950.562000000085	790.7009999999964	5318.099999999994	9345.078999999998	7194.092500000241	512261.4309999942	7917645.513999992	0.0	144674.42849999966	4563.6445000000485	2643.3804999999984	15992.44600000002	760.8805000000044	0.0	4023.777000000043	235.6559999999956	4830.571000000056	122.24799999999959	601116.7069999988	1243.8174999999987	1509.3460000000025	177455.99649999864	2997.427999999931	11457.910999999995	14422.906499999957	255.06	821.0249999999804	1660.9270000000588	23954.233999999968
TW-BD-001	8878.14949999976	3217.689000000205	7237.346499999863	4642.551000000049	98.55000000000055	111.18	4111.025500000021	6999.932499999982	58410.2019999996	287.19650000000547	693211.0065000071	4065.5995000000335	103.1649999999996	19562.666000000067	22939.517999999967	789.7280000000015	309.4629999999997	140.43850000000032	255.71750000000517	8403.08349999995	3672.6115000000023	504.06299999999993	6352.515499999988	1716.8839999999689	9000.142499999944	1211926.3845000023	6874866.750500001	85.72199999999836	83356.30000000042	4138.942000000044	378.75050000000334	11866.999500000007	294.54650000000305	5092.991999999862	933.4129999999612	0.0	1994.383499999953	150.15199999999803	3175.1119999999983	3233.7049999999986	3712.402000000014	224937.18499999848	293.1659999999855	17518.894000000255	7170.035499999931	446.11599999999913	376.91249999999184	1173.5840000000276	19432.841999999957
TW-AG-001	73.1639999999973	193.8149999999916	0.0	80.77099999999973	136.62500000000577	150.35750000000127	0.0	557.7359999999953	110.29200000000131	43.80000000000024	500.65700000000214	0.0	160.52399999999994	66.18499999999962	432815.26950000174	110.84749999999822	55.69199999999998	52.368000000000315	100.6940000000015	103.78749999999776	153.68999999999997	878.3919999999983	0.0	0.0	0.0	89.5029999999997	897.6024999999968	449.45799999999224	119.51850000000029	4779.409000000083	163.94999999999692	0.0	51.27700000000029	0.0	42.607500000001146	246.22699999999625	103.35999999999872	0.0	0.0	52.656000000000276	0.0	0.0	143.24849999999427	125.1929999999926	122.19199999999773	176.2559999999978	53.58150000000046	127.13599999999836	177.96049999999227
TW-CV-001	15005.5654999999	2334.7304999999333	13564.794999999971	2794.030999999971	183567.7164999997	296.75200000000183	180965.64599999995	5808.527999999943	34258.31349999981	0.0	725834.3405000078	4942.028999999982	306.7400000000026	35552.504500000105	22385.807500000294	100991.48300000004	160.11799999999985	149.74099999999902	198.28900000000183	4955.255999999986	118652.02149999992	10799.721499999987	3657.194499999988	2732.2319999999936	5773.333500000294	793982.9739999947	7134385.348999999	255.80499999999972	200645.92200000046	3341.2975000000592	420.6719999999984	10643.849000000131	744.3789999999992	16937.250000000167	2350.9734999999555	0.0	2383.828999999995	255.80499999999972	195649.63649999988	252.08799999999798	24942.06299999998	79751.10750000077	725.3624999999803	15359.476999999832	11594.031000000155	593.7149999999933	426.560000000018	1613.6639999999334	21398.47950000008
