,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Organoheterocyclic compounds; Pteridines and derivatives; unclassified; Pteridines and derivatives,0.00012648091792475543,8.598979916296064e-05,4.5642064082446646e-05,0.00019753296464572123,0.0,0.0003837723575095428
Organic compounds; Benzenoids; Phenol ethers; Anisoles; Anisoles,0.0019643805492839234,0.0,0.0,0.004508835696972841,0.0,0.0
Organic compounds; Benzenoids; Dibenzocycloheptenes; unclassified; Dibenzocycloheptenes,6.608623353438479e-05,0.003065350851558085,0.00327500689567294,0.0,0.0,0.0
Organic compounds; Benzenoids; Phenols; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-2-unsubstituted benzenoids,0.0038946407506317542,0.03151500448677167,0.0006915247589680113,0.0033349630289887366,0.001909676315511497,0.00233124025215848
Organic compounds; Phenylpropanoids and polyketides; Diarylheptanoids; Linear diarylheptanoids; Curcuminoids,0.0001830711108523822,0.0,0.0,9.332700631396686e-05,0.0,0.0
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; Chlorins; Chlorins,0.0007117053247590344,0.0006027239411479318,0.0012761169316899208,0.001578478377178567,0.0018882612337136325,0.0005319636504186649
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Tryptamines and derivatives; Tryptamines and derivatives,0.0012554124704923979,0.00047692067367632944,0.0011555594032080219,0.0027809634178739134,0.0,0.0011553632076266181
Organic compounds; Organoheterocyclic compounds; Diazines; Pyrimidines and pyrimidine derivatives; Phenylpyrimidines,0.00045288107066124154,0.006324120648801003,0.0033223383573536217,0.0014552924297861424,0.003273010106825124,0.0004996721267687921
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenethylamines; Phenethylamines,0.0019568951333244103,0.0006804049133270734,0.003347975293039928,0.006112778140312465,0.007183871733993115,0.0008945959832981371
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Heterocyclic fatty acids,0.0016438588289052762,0.009655182379885958,0.0,0.0018506922774731449,0.0036476873765248865,0.0028887982856428142
