,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds;  Organoheterocyclic compounds;  Benzopyrans;  1-benzopyrans,0.00043691912666917815,0.0014305184228417746,0.00037089497139759423,0.0003850578245102026,0.0018836892492195424,0.0
Organic compounds;  Organic oxygen compounds;  Organooxygen compounds;  Carbohydrates and carbohydrate conjugates,0.0015850481570760231,0.0063312598093965035,0.0017521525824277637,0.003516129958409374,0.001370415298558914,0.001416721707429843
Organic compounds;  Organoheterocyclic compounds;  Quinolines and derivatives;  Quinoline carboxylic acids,0.0006166063831943554,0.000530919307461226,6.57330248963623e-05,0.00030316989632614855,0.0017548256987192344,0.00047881029951219356
Organic compounds;  Benzenoids;  Phenol ethers;  Anisoles,0.002169996176507613,0.0,0.0,0.005027134172036556,0.0,0.0
Organic compounds;  Benzenoids;  Phenols;  1-hydroxy-2-unsubstituted benzenoids,0.003367697402098174,0.027197428545137098,0.0005965520185519119,0.002924989702210323,0.001638388242218714,0.0019673864773743764
Organic compounds;  Phenylpropanoids and polyketides;  Diarylheptanoids;  Linear diarylheptanoids,0.00021989440289413783,0.0,0.0,0.00010764407033823217,0.0,0.0
Organic compounds;  Organoheterocyclic compounds;  Tetrapyrroles and derivatives;  Chlorins,0.000831217529460557,0.0007021090689890014,0.0014961956957979335,0.0018119780606100288,0.002138161422374465,0.0006181237395795144
Organic compounds;  Organoheterocyclic compounds;  Indoles and derivatives;  Tryptamines and derivatives,0.0013380027370449217,0.0004699391628748821,0.0011571684568114813,0.002751817464570324,0.0,0.001149251725182798
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Phenethylamines,0.0022692841854386695,0.0007296120813123069,0.003643286560573429,0.006591048508849699,0.007661616456421567,0.0009369271067695242
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Phenylmethylamines,0.00039712970799431473,0.00035785680714602074,0.0002580487123335302,0.0002778233208778443,0.001110399586678589,0.00017129863385105152
Organic compounds;  Lipids and lipid-like molecules;  Glycerolipids;  Monoradylglycerols,9.505876385121894e-05,0.000629663633532767,0.0,0.0,0.0003837422823348897,0.0001121314454453202
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Anilides,0.00035053329479219254,0.00026705498403240474,2.3140071282929072e-05,0.00026390506637528964,0.00016531020661063027,0.0
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Phenylacetamides,0.004083638797329915,0.002908307380339062,0.028114408392360193,0.021727747572169148,0.0,7.240530710874553e-05
Organic compounds;  Hydrocarbons;  Unsaturated hydrocarbons;  Olefins,2.6552340934930755e-05,0.000178636715874371,0.0004418157112440188,7.594103124898174e-05,0.0,0.00022906388677009935
Organic compounds;  Benzenoids;  Phenols;  Tyrosols and derivatives,0.0007343805854332508,0.009867481891328514,0.01038347685639121,0.0,0.0029806265942165077,0.00014818241784160605
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Cumenes,0.00041260894926312244,0.0002870123732668437,0.0,0.0,0.0,0.0
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty alcohol esters,0.0,0.00030399295423775554,0.00035894880090836485,8.686104009442483e-05,0.0001667236020627693,0.00012613209732031085
Organic compounds;  Benzenoids;  Phenanthrenes and derivatives;  Hydrophenanthrenes,0.0,0.0001486630201218036,0.0,9.832063820203178e-05,0.0,0.0
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Steroid esters,0.0,0.006838560907809178,0.0,0.0,0.0,0.0002474691643416331
Organic compounds;  Organic oxygen compounds;  Organooxygen compounds;  Carbonyl compounds,0.0,0.00020524919750344775,7.547182124412987e-05,7.849121771979965e-05,0.00023798386491025763,0.00015781397696073836
Organic compounds;  Organoheterocyclic compounds;  Azoles;  Thiazoles,0.0,0.0,0.003262247359871129,0.0,0.0,4.919994573065926e-05
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Pregnane steroids,0.0,0.0,0.0001392171334311661,0.0009770552125047429,0.0,0.00015066852346548582
Organic compounds;  Organoheterocyclic compounds;  Indoles and derivatives;  Carbazoles,0.0,0.0,0.0010341456099158478,0.0,0.0,0.00043064972578301134
Organic compounds;  Organic acids and derivatives;  Peptidomimetics;  Hybrid peptides,0.0,0.0,0.0008874076026617926,7.37597993867205e-05,0.0,0.0003358978292917266
Organic compounds;  Organoheterocyclic compounds;  Pyridines and derivatives;  Pyridinecarboxylic acids and derivatives,0.0,0.0,0.0,0.0011417025750014062,0.003254642681660381,0.0008846233317081382
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Diphenylmethanes,0.0,0.0,0.0,0.006247730770217985,0.0,4.7517231340377104e-05
Organic compounds;  Lipids and lipid-like molecules;  Glycerophospholipids;  Glycerophosphoserines,0.0,0.0,0.0,0.00021496078243998183,0.0,0.0
Organic compounds;  Organoheterocyclic compounds;  Benzazepines;  Dibenzazepines,0.0,0.0,0.0,0.0,0.0,0.012660841209140157
